sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,policy,product_type
1wsssct8377,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,"Tropics original chip sprinkle- 100g
",https://worldshops.co.uk/assets/front/img/no-img.png,"Tropics original chip sprinkle- 100g

Chips and fries taste boring? Well not anymore!

Tropics Chip Sprinkle is a delicious American styled seasoning salt intended for chips, french fries, BBQs, burgers, and more! Consisting of Salt, Paprika, Dried Onion, Garlic Granules, Sugar, Smoked Paprika.  Make your chips adventurous again.",1.39,,,,normal
1wsssct8378,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Tropical Sun peri peri seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"Tropical Sun peri peri seasoning 100g

A colourful blend of chilli, lemon, paprika, cumin and more, Tropical Sun Peri Peri Seasoning is famous as a flavouring for chicken, but is equally as delicious with potato wedges, meat and veg. Use as a dry rub or mixed with olive oil to create a wet marinade. You can even sprinkle it over freshly made popcorn for a spicy, delicious snack. Enjoy! ",1.29,,,,normal
1wsssct8379,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Tropical Sun oxtail seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"Tropical Sun oxtail seasoning 100g

Oxtail originally meant the tail of an ox but nowadays oxtail generally means beef tail. Braised oxtail is one of Jamaica's favourite dishes. Our carefully selected blend of spices and herbs will help you recreate the authentic taste of Jamaican oxtail. Enjoy!",1.29,,,,normal
1wsssct8380,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Tropical Sun jollof seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"Tropical Sun jollof seasoning 100g

A dish made with love, jollof rice is an icon of West African food and has become famous worldwide for its incredible depth of flavour. Where most rice dishes tend to be sides to the main meal, jollof is undoubtedly the star of the show. Smoky, spicy and fragrant, the dish is a celebration of West Africa’s culture of sharing. Nobody leaves Auntie’s house without a tupperware of jollof!

Whether you’re cooking jollof in a Ghanaian, Nigerian or Senegalese style – our expertly blended jollof seasoning will help you create the perfect dish. Serve with fried plantain for the ultimate sweet and savoury flavour combo!",1.49,,,,normal
1wsssct8381,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Tropical Sun mild jerk seasoning paste,https://worldshops.co.uk/assets/front/img/no-img.png,"Tropical Sun mild jerk seasoning paste 280g

The most famous flavour in all of Jamaica - the unmistakable, spicy jerk aroma carries across the island on the sweet, cool breeze. Made from a traditional mixture of scallion (spring onion), hot peppers, pimento, nutmeg, thyme and more. We've toned down the heat of our award-winning original jerk seasoning to give you a milder version that retains that authentic jerk aroma and flavour.",2.99,,,,normal
1wsssct8382,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Tropical Sun everyday seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"Tropical Sun everyday seasoning 100g

Tropical Sun Everyday Seasoning has been specifically formulated to enhance the flavour of a variety of everyday meals including meat, fish and vegetable dishes. As its name suggests, our unique blend of herbs and spices can be used everyday in all types of cuisines to help tropicalise your food. You can use our seasoning to add a zing to soups and salads as well as dressings, sauces and much, much more. Be creative! Enjoy!",0.69,,,,normal
1wsssct8383,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Tropical Sun fish seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"Tropical Sun fish seasoning 100g

Tropical Sun Fish Seasoning is a flavoursome combination of salt, celery, paprika, coriander, chilli, onion and garlic. Whether rubbed into fish, or added to a sauce or marinade, it will bring depth of flavour to your favourite fish dish. It is also free from artificial colours, flavours and preservatives. Enjoy!",1.09,,,,normal
1wsssct8384,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Tropical Sun hot & spicy seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"Tropical Sun hot & spicy seasoning 100g

Spicy enough to keep you on your toes, but not so much as to make you sweat buckets, Tropical Sun hot & spicy seasoning combines crushed chilli, paprika and mustard. Perfect for meat, veggies, tofu, mushrooms and more, it will liven up many a dish. Enjoy!",1.19,,,,normal
1wsssct8385,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Maggi liquid seasoning hot,https://worldshops.co.uk/assets/front/img/no-img.png,Maggi® Hot Liquid Seasoning 100ml - a strong aromatic liquid flavouring that can be used as an ingredient to bring out the flavours of any dish,1.29,,,,normal
1wsssct8386,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Tooba original fried chicken coating,https://worldshops.co.uk/assets/front/img/no-img.png,Tooba Chicken Fry Mix has a mix of spices and seasoning for making a delicious fried chicken dish.,2.99,,,,normal
